%d/%m/%Y" "%H:%M)" "$cpu" "$disk" "$mem
02/11/2020 11:51 2.5 707042372 699703296
02/11/2020 11:52 2.5 707043147 700145664
03/11/2020 17:40 2.1 750579402 668172288
04/11/2020 16:11 2.0 780210408 665321472
04/11/2020 16:39 2.0 780658328 675614720
05/11/2020 09:19 1.9 798880791 706293760
05/11/2020 14:40 2.0 805671014 740990976
06/11/2020 08:30 1.9 830207344 772083712
06/11/2020 11:05 1.9 834265937 777625600
07/11/2020 14:01 1.8 865764278 827916288
08/11/2020 14:52 1.8 898591054 853549056
08/11/2020 18:31 1.8 907679057 859860992
08/11/2020 20:13 1.8 913271235 863633408
08/11/2020 21:25 1.8 914943957 872054784
09/11/2020 07:47 1.7 926855211 888688640
09/11/2020 11:11 1.7 931049792 894267392
09/11/2020 14:58 1.7 935829259 905031680
09/11/2020 17:13 1.7 938813310 905535488
09/11/2020 19:48 1.7 941618918 912728064
09/11/2020 21:55 1.7 943644856 917020672
09/11/2020 21:55 1.7 943644856 917725184
09/11/2020 23:16 1.7 944944694 919863296
10/11/2020 04:54 1.7 949991164 926949376
10/11/2020 08:30 1.7 953542012 932200448
10/11/2020 09:57 1.7 954990861 935641088
