                RAM(%)  MEM       MEM
31/10/2020T13:45 0.0 629987190 637911040
31/10/2020T13:48 6.2 630109565 640856064
31/10/2020T13:49 0.0 630126756 640446464
31/10/2020T13:50 3.2 630172651 642080768
31/10/2020T14:00 3.0 630520261 635854848
31/10/2020T14:10 3.2 630861677 630046720
31/10/2020T14:20 0.0 631166540 629538816
31/10/2020T14:30 0.0 631508580 624922624
31/10/2020T14:40 3.0 631859549 624685056
31/10/2020T14:50 3.0 632195816 625057792
31/10/2020T15:00 6.2 632535315 624635904
31/10/2020T15:10 0.0 632952595 623603712
31/10/2020T15:20 3.2 633374504 626888704
31/10/2020T15:30 3.1 633755892 627478528
31/10/2020T15:40 6.1 634044131 623603712
31/10/2020T15:50 3.2 634517577 624177152
31/10/2020T16:00 6.1 634740664 624771072
31/10/2020T16:10 3.1 635072159 625250304
31/10/2020T16:20 3.2 635291128 624963584
31/10/2020T16:30 6.5 635553180 623403008
31/10/2020T16:40 0.0 635771113 625291264
31/10/2020T16:50 0.0 636032888 625221632
31/10/2020T17:00 20.6 636309327 625045504
31/10/2020T17:10 0.0 636558412 624779264
31/10/2020T17:20 6.5 636808500 631750656
31/10/2020T17:30 3.2 637041513 627163136
31/10/2020T17:40 3.3 637257147 624623616
31/10/2020T17:50 0.0 637485163 627367936
31/10/2020T18:00 0.0 637664659 627159040
31/10/2020T18:10 3.3 638059409 626962432
31/10/2020T18:20 0.0 638286551 628670464
31/10/2020T18:30 3.2 638724850 627621888
31/10/2020T18:40 3.0 638968808 627974144
31/10/2020T18:50 6.1 639193458 627347456
31/10/2020T19:00 6.5 639362557 627302400
31/10/2020T19:10 35.5 639609024 627503104
31/10/2020T19:20 6.2 640219917 629592064
31/10/2020T19:30 3.2 640388416 628686848
31/10/2020T19:40 3.1 640559889 630575104
31/10/2020T19:50 3.0 640952790 630833152
31/10/2020T20:00 9.1 641349976 639471616
31/10/2020T20:10 3.0 641903132 635486208
31/10/2020T20:20 3.2 642028570 635633664
31/10/2020T20:30 3.0 642262722 634662912
31/10/2020T20:40 3.1 642752352 633761792
31/10/2020T20:50 0.0 642970752 635342848
31/10/2020T21:00 5.9 643182510 635109376
31/10/2020T21:10 3.2 643380324 639787008
31/10/2020T21:20 3.2 643554517 638177280
31/10/2020T21:30 3.2 644029551 638603264
31/10/2020T21:40 3.2 644144424 654270464
31/10/2020T21:50 3.0 644278420 643842048
31/10/2020T22:00 0.0 644515979 638398464
31/10/2020T22:10 3.2 644696232 632684544
31/10/2020T22:20 6.2 644897288 632172544
31/10/2020T22:30 6.2 645170655 633307136
31/10/2020T22:40 31.2 645313866 633667584
31/10/2020T22:50 23.5 645537430 632553472
31/10/2020T23:00 3.1 645784072 634073088
31/10/2020T23:10 6.2 645988391 634187776
31/10/2020T23:20 0.0 646182633 638791680
31/10/2020T23:30 3.3 646344961 637259776
31/10/2020T23:40 6.5 646514580 643203072
31/10/2020T23:50 3.1 646736399 646561792
01/11/2020T00:00 17.1 646879734 659021824
01/11/2020T00:10 6.2 647017227 646832128
01/11/2020T00:20 3.2 647185252 645128192
01/11/2020T00:30 3.1 647341066 644169728
01/11/2020T00:40 3.2 647484747 646012928
01/11/2020T00:50 3.2 647699099 646877184
01/11/2020T01:00 0.0 647795970 646492160
01/11/2020T01:10 0.0 647919410 645652480
01/11/2020T01:20 5.9 648085415 648441856
01/11/2020T01:30 17.1 648227102 647081984
01/11/2020T01:40 3.1 648379440 651841536
01/11/2020T01:50 3.1 648560627 656297984
01/11/2020T02:00 6.2 648715357 653484032
01/11/2020T02:10 3.2 648957652 649408512
01/11/2020T02:20 0.0 649030922 649318400
01/11/2020T02:30 3.0 649156239 649060352
01/11/2020T02:40 8.8 649285315 653283328
01/11/2020T02:50 3.2 649440403 647737344
01/11/2020T03:00 3.1 649571236 649216000
01/11/2020T03:10 0.0 649713422 649490432
01/11/2020T03:20 3.1 649876626 650952704
01/11/2020T03:30 30.0 650048787 649805824
01/11/2020T03:40 0.0 650206967 649277440
01/11/2020T03:50 0.0 650332396 649678848
01/11/2020T04:00 3.0 650446678 648716288
01/11/2020T04:10 28.1 650678123 649990144
01/11/2020T04:20 3.3 650798814 650092544
01/11/2020T04:30 3.1 650962055 650473472
01/11/2020T04:40 0.0 651122407 649797632
01/11/2020T04:50 2.9 651275208 650522624
01/11/2020T05:00 3.0 651508456 649134080
01/11/2020T05:10 3.2 651716395 649805824
01/11/2020T05:20 6.1 651876299 652115968
01/11/2020T05:30 3.2 652078239 651431936
01/11/2020T05:40 20.0 652300596 650838016
01/11/2020T05:50 3.0 652501412 651743232
01/11/2020T06:00 6.1 652673979 650366976
01/11/2020T06:10 3.2 652964111 649392128
01/11/2020T06:20 0.0 653168119 652877824
01/11/2020T06:30 3.2 653436558 650436608
01/11/2020T06:40 0.0 653693372 650145792
01/11/2020T06:50 3.1 653888704 650178560
01/11/2020T07:00 3.2 654098014 648036352
01/11/2020T07:10 3.1 654352251 649732096
01/11/2020T07:20 3.2 654571724 653340672
01/11/2020T07:30 3.1 654836146 651145216
01/11/2020T07:40 3.3 655244550 651681792
01/11/2020T07:50 3.3 655541889 653262848
01/11/2020T08:00 3.2 655732033 652804096
01/11/2020T08:10 3.2 655930047 653197312
01/11/2020T08:20 3.1 656181363 652546048
01/11/2020T08:30 29.4 656361317 654413824
01/11/2020T08:40 0.0 656631121 654303232
01/11/2020T08:50 3.0 656914615 652177408
01/11/2020T09:00 2.9 657184494 653905920
01/11/2020T09:10 6.2 657501088 652914688
01/11/2020T09:20 0.0 657722584 655523840
01/11/2020T09:30 0.0 657983787 655609856
01/11/2020T09:40 0.0 658177646 656306176
01/11/2020T09:50 3.1 658319870 658550784
01/11/2020T10:00 3.0 658573280 656580608
01/11/2020T10:10 3.1 658927059 657833984
01/11/2020T10:20 3.0 659084076 656187392
01/11/2020T10:30 3.2 659258061 656232448
01/11/2020T10:40 0.0 659417717 657137664
01/11/2020T10:50 6.1 659625851 657829888
01/11/2020T11:00 3.1 659812197 658407424
01/11/2020T11:10 3.1 660015179 659881984
01/11/2020T11:20 5.9 660206706 662822912
01/11/2020T11:30 3.2 660481735 662466560
01/11/2020T11:40 0.0 660733601 661913600
01/11/2020T11:50 3.1 660938119 693321728
01/11/2020T12:00 3.3 661176693 688201728
01/11/2020T12:10 3.2 661436381 688979968
01/11/2020T12:20 3.1 661684309 688390144
01/11/2020T12:30 3.2 661943726 688680960
01/11/2020T12:40 0.0 662171587 688312320
01/11/2020T12:50 3.2 662379935 686764032
01/11/2020T13:00 0.0 662557432 687710208
01/11/2020T13:10 3.3 662890573 701009920
01/11/2020T13:20 3.1 663169773 693194752
01/11/2020T13:30 3.1 663504143 693137408
01/11/2020T13:40 3.3 663730154 693075968
01/11/2020T13:50 6.2 663888972 669212672
01/11/2020T14:00 3.3 664153254 670507008
01/11/2020T14:10 6.5 664518276 666382336
01/11/2020T14:20 32.1 664868980 667332608
01/11/2020T14:30 6.2 665066600 667086848
01/11/2020T14:40 26.7 665252847 668987392
01/11/2020T14:50 3.1 665519820 665030656
01/11/2020T15:00 3.0 665728923 664285184
01/11/2020T15:10 3.1 666051662 664592384
01/11/2020T15:20 0.0 666260620 668258304
01/11/2020T15:30 3.0 666477536 668160000
01/11/2020T15:40 3.1 666704913 667815936
01/11/2020T15:50 6.2 666913819 667754496
01/11/2020T16:00 3.2 667056818 667635712
01/11/2020T16:10 0.0 667250123 667893760
01/11/2020T16:20 3.1 667409111 668213248
01/11/2020T16:30 0.0 667718322 667664384
01/11/2020T16:40 3.3 667962424 669052928
01/11/2020T16:50 28.6 668272700 669151232
01/11/2020T17:00 0.0 668474618 669220864
01/11/2020T17:10 14.3 668703332 668119040
01/11/2020T17:20 3.3 668954112 670941184
01/11/2020T17:30 0.0 669139574 685723648
01/11/2020T17:40 0.0 669358801 676519936
01/11/2020T17:50 3.2 669611503 671580160
01/11/2020T18:00 6.2 670003661 672772096
01/11/2020T18:10 9.1 670436303 672129024
01/11/2020T18:20 3.2 670603221 672403456
01/11/2020T18:30 20.0 670805798 672505856
01/11/2020T18:40 3.1 671057232 670498816
01/11/2020T18:50 3.0 671270974 672010240
01/11/2020T19:00 0.0 671581959 671420416
01/11/2020T19:10 3.0 671849067 671485952
01/11/2020T19:20 3.2 672101740 679133184
01/11/2020T19:30 0.0 672323033 676425728
01/11/2020T19:40 3.2 672633465 674406400
01/11/2020T19:50 5.9 672971994 673628160
01/11/2020T20:00 3.1 673281061 673771520
01/11/2020T20:10 3.3 673563642 675172352
01/11/2020T20:20 3.1 673903931 675291136
01/11/2020T20:30 3.1 674231707 673521664
01/11/2020T20:40 3.1 674579135 672509952
01/11/2020T20:50 3.1 674867232 675225600
01/11/2020T21:00 8.8 675154556 675246080
01/11/2020T21:10 3.0 675398424 679911424
01/11/2020T21:20 0.0 675680866 677814272
01/11/2020T21:30 0.0 675948533 675487744
01/11/2020T21:40 3.3 676239865 677879808
01/11/2020T21:50 16.1 676522071 678187008
01/11/2020T22:00 3.0 676827947 678334464
01/11/2020T22:10 0.0 677118757 678150144
01/11/2020T22:20 3.3 677349342 677216256
01/11/2020T22:30 0.0 677660514 678031360
01/11/2020T22:40 3.2 677955700 678297600
01/11/2020T22:50 3.1 678205706 678002688
01/11/2020T23:00 3.1 678421361 677277696
01/11/2020T23:10 3.3 678707652 677646336
01/11/2020T23:20 0.0 678951951 681467904
01/11/2020T23:30 0.0 679242762 680812544
01/11/2020T23:40 3.0 679409927 679960576
01/11/2020T23:50 3.1 679646343 680611840
02/11/2020T00:00 43.8 679871348 697294848
02/11/2020T00:10 9.4 680101368 682168320
02/11/2020T00:20 0.0 680237009 681906176
02/11/2020T00:30 0.0 680461088 681775104
02/11/2020T00:40 0.0 680699479 680828928
02/11/2020T00:50 3.2 680866391 680767488
02/11/2020T01:00 3.2 681172179 680005632
02/11/2020T01:10 0.0 681293720 679567360
02/11/2020T01:20 0.0 681509153 683352064
02/11/2020T01:30 3.2 681699765 684396544
02/11/2020T01:40 3.1 681818623 684687360
02/11/2020T01:50 6.2 682000931 688304128
02/11/2020T02:00 3.1 682147294 683565056
02/11/2020T02:10 3.1 682331545 685219840
02/11/2020T02:20 3.2 682458798 684490752
02/11/2020T02:30 6.5 682642469 684781568
02/11/2020T02:40 6.1 682843062 692051968
02/11/2020T02:50 0.0 682985088 688693248
02/11/2020T03:00 3.1 683159755 688029696
02/11/2020T03:10 0.0 683334917 688881664
02/11/2020T03:20 3.2 683505964 691736576
02/11/2020T03:30 3.2 683649014 691802112
02/11/2020T03:40 0.0 683793802 691679232
02/11/2020T03:50 0.0 683933620 690974720
02/11/2020T04:00 3.2 684101270 691970048
02/11/2020T04:10 3.1 684192361 691740672
02/11/2020T04:20 3.1 684329699 692015104
02/11/2020T04:30 6.1 684669197 691879936
02/11/2020T04:40 6.2 684980032 688984064
02/11/2020T04:50 0.0 685100135 687968256
02/11/2020T05:00 3.0 685260245 688635904
02/11/2020T05:10 6.5 685456560 688480256
02/11/2020T05:20 9.7 685685887 691265536
02/11/2020T05:30 3.2 685803691 690012160
02/11/2020T05:40 10.0 685968015 691556352
02/11/2020T05:50 3.3 686112932 698490880
02/11/2020T06:00 3.2 686263206 694755328
02/11/2020T06:10 0.0 686443073 691814400
02/11/2020T06:20 3.1 686531573 696991744
02/11/2020T06:30 6.2 686745418 701558784
02/11/2020T06:40 6.2 686937369 696856576
02/11/2020T06:50 0.0 687087436 694706176
02/11/2020T07:00 6.1 687244229 695873536
02/11/2020T07:10 3.2 687535356 699064320
02/11/2020T07:20 9.7 687707566 697663488
02/11/2020T07:30 3.0 687828638 699789312
02/11/2020T07:40 3.0 687942437 701091840
02/11/2020T07:50 3.1 688133452 709066752
02/11/2020T08:00 3.2 688298280 710049792
02/11/2020T08:10 3.2 688565958 711389184
02/11/2020T08:20 3.1 688779976 712417280
02/11/2020T08:30 3.3 688963474 708960256
02/11/2020T08:40 3.1 689116198 708288512
02/11/2020T08:50 3.0 689306456 707743744
02/11/2020T09:00 2.9 689531324 708452352
02/11/2020T09:10 3.1 689724525 707620864
02/11/2020T09:20 3.2 689920409 710987776
02/11/2020T09:30 0.0 690084617 710590464
02/11/2020T09:40 3.1 690327617 709967872
02/11/2020T09:50 0.0 690608956 711344128
02/11/2020T10:00 3.1 690835642 711798784
02/11/2020T10:10 3.2 691032077 710258688
02/11/2020T10:20 0.0 691416683 711864320
02/11/2020T10:30 3.1 691587310 711610368
02/11/2020T10:40 3.1 691858462 710914048
02/11/2020T10:50 3.2 692032155 710647808
02/11/2020T11:00 3.4 692207572 709464064
02/11/2020T11:10 3.2 692389735 711589888
02/11/2020T11:20 6.7 692580672 713912320
02/11/2020T11:30 3.0 692862268 713699328
02/11/2020T11:40 6.2 693000817 713621504
02/11/2020T11:50 3.1 693338962 713621504
02/11/2020T12:00 3.2 693558181 714035200
02/11/2020T12:10 3.2 693801410 713232384
02/11/2020T12:20 3.1 693996334 714457088
02/11/2020T12:30 0.0 694230845 716828672
02/11/2020T12:40 3.1 694504434 714334208
02/11/2020T12:50 6.5 694681850 713646080
02/11/2020T13:00 6.2 694829948 713605120
02/11/2020T13:10 3.0 695032614 723750912
02/11/2020T13:20 6.2 695324609 716443648
02/11/2020T13:30 0.0 695606302 717307904
02/11/2020T13:40 6.2 695905912 717197312
02/11/2020T13:50 3.1 696127651 715788288
02/11/2020T14:00 3.2 696314069 717090816
02/11/2020T14:10 0.0 696626024 717021184
02/11/2020T14:20 6.1 696742674 716398592
02/11/2020T14:30 3.2 697018235 717819904
02/11/2020T14:40 6.2 697239476 717230080
02/11/2020T14:50 3.1 697561235 714727424
02/11/2020T15:00 0.0 697820366 714600448
02/11/2020T15:10 0.0 698235283 716414976
02/11/2020T15:20 0.0 698394602 716374016
02/11/2020T15:30 0.0 698749040 717459456
02/11/2020T15:40 3.2 699126403 719290368
02/11/2020T15:50 3.1 699406504 716394496
02/11/2020T16:00 0.0 699561859 718938112
02/11/2020T16:10 3.1 699693918 717213696
02/11/2020T16:20 3.2 699944316 723755008
02/11/2020T16:30 5.7 700140729 718036992
02/11/2020T16:40 3.3 700353884 719589376
02/11/2020T16:50 0.0 700605331 718974976
02/11/2020T17:00 0.0 700898630 719761408
02/11/2020T17:10 6.1 701212711 720457728
02/11/2020T17:20 3.0 701600880 720265216
02/11/2020T17:30 3.2 701899148 722624512
02/11/2020T17:40 3.1 702102381 721379328
02/11/2020T17:50 6.1 702419364 720568320
02/11/2020T18:00 0.0 702693531 721248256
02/11/2020T18:10 0.0 703196167 721207296
02/11/2020T18:20 12.5 703635808 721571840
02/11/2020T18:30 6.1 703998814 721272832
02/11/2020T18:40 0.0 704264576 719740928
02/11/2020T18:50 0.0 704516858 719867904
02/11/2020T19:00 0.0 704766749 719249408
02/11/2020T19:10 2.9 705152203 720711680
02/11/2020T19:20 0.0 705462466 724013056
02/11/2020T19:30 9.1 705874588 724389888
02/11/2020T19:40 6.2 706136183 723505152
02/11/2020T19:50 3.1 706481102 721833984
02/11/2020T20:00 0.0 706966219 724090880
02/11/2020T20:10 0.0 707347251 723345408
02/11/2020T20:20 3.2 707757217 723001344
02/11/2020T20:30 3.1 708047351 724267008
02/11/2020T20:40 30.0 708465741 724250624
02/11/2020T20:50 3.1 708731450 723615744
02/11/2020T21:00 3.1 709040423 724127744
02/11/2020T21:10 0.0 709402061 727330816
02/11/2020T21:20 0.0 709679473 731865088
02/11/2020T21:30 3.2 709915420 725860352
02/11/2020T21:40 6.5 710128961 726618112
02/11/2020T21:50 0.0 710448593 730431488
02/11/2020T22:00 0.0 710657480 731934720
02/11/2020T22:10 3.2 710905962 732434432
02/11/2020T22:20 6.1 711088529 732233728
02/11/2020T22:30 0.0 711330965 732598272
02/11/2020T22:40 3.2 711547681 732766208
02/11/2020T22:50 0.0 711837423 733192192
02/11/2020T23:00 3.1 712113799 764477440
02/11/2020T23:10 3.2 712283559 758792192
02/11/2020T23:20 3.1 712510372 763641856
02/11/2020T23:30 6.1 712698249 763265024
02/11/2020T23:40 3.2 712856880 763514880
