"Date";"CPU in perc";"Disk in bytes";"Memory in bytes"
16/10/2020T16:02;4.4;230437488;326901760
16/10/2020T16:10;4.4;230575064;321458176
16/10/2020T16:20;4.4;230762586;320897024
16/10/2020T16:30;4.4;230916839;321990656
16/10/2020T16:40;4.3;231092217;321179648
16/10/2020T16:50;4.3;231298641;322183168
16/10/2020T17:00;4.3;231509629;320802816
16/10/2020T17:10;4.3;231728333;320921600
16/10/2020T17:20;4.3;231855133;324894720
16/10/2020T17:30;4.3;232009128;324296704
16/10/2020T17:40;4.3;232132368;329687040
16/10/2020T17:50;4.3;232288349;324796416
16/10/2020T18:00;4.3;232485901;325529600
16/10/2020T18:10;4.3;232635632;324612096
16/10/2020T18:20;4.2;232822244;331722752
16/10/2020T18:30;4.2;232993191;324898816
16/10/2020T18:40;4.2;233178137;325120000
16/10/2020T18:50;4.2;233405611;329089024
16/10/2020T19:00;4.2;233586605;324841472
16/10/2020T19:10;4.2;233809681;326922240
16/10/2020T19:20;4.2;234038446;329494528
16/10/2020T19:30;4.2;234193025;336195584
16/10/2020T19:40;4.2;234400553;329981952
16/10/2020T19:50;4.2;234560710;330465280
16/10/2020T20:00;4.2;234738529;332386304
16/10/2020T20:10;4.2;234986275;326721536
16/10/2020T20:20;4.2;235179622;326590464
16/10/2020T20:30;4.1;235346673;321921024
16/10/2020T20:40;4.1;235565018;323067904
16/10/2020T20:50;4.1;235793481;324833280
16/10/2020T21:00;4.1;6702426;173535232
16/10/2020T21:10;4.1;6702426;174686208
16/10/2020T21:20;4.1;6702426;173076480
16/10/2020T21:30;4.1;6702426;173264896
16/10/2020T21:40;4.0;6702426;173780992
16/10/2020T21:50;4.0;7146177;256462848
16/10/2020T22:00;4.0;10893750;173486080
16/10/2020T22:10;4.0;10893750;173060096
16/10/2020T22:20;4.0;10893750;174837760
16/10/2020T22:30;3.9;10893750;173658112
16/10/2020T22:40;3.9;10893750;173469696
16/10/2020T22:50;3.9;10893750;174182400
16/10/2020T23:00;3.9;10893750;173166592
16/10/2020T23:10;3.8;10893750;172830720
16/10/2020T23:20;3.8;10893750;172961792
16/10/2020T23:30;3.8;10893750;180035584
16/10/2020T23:40;3.8;10893750;173121536
16/10/2020T23:50;3.8;10893750;173162496
17/10/2020T00:00;3.7;10893750;173133824
17/10/2020T00:10;3.7;10893750;180768768
17/10/2020T00:20;3.7;10893750;177246208
17/10/2020T00:30;3.7;10893750;175677440
17/10/2020T00:40;3.7;10893750;175579136
17/10/2020T00:50;3.6;10893750;175714304
17/10/2020T01:00;3.6;10893750;175521792
17/10/2020T01:10;3.6;10893750;175874048
17/10/2020T01:20;3.6;10893750;176001024
17/10/2020T01:30;3.6;10893750;175538176
17/10/2020T01:40;3.5;10893750;176144384
17/10/2020T01:50;3.5;10893750;176205824
17/10/2020T02:00;3.5;10893750;176091136
17/10/2020T02:10;3.5;10893750;177442816
17/10/2020T02:20;3.5;10893750;176033792
17/10/2020T02:40;3.5;27117600;243654656
17/10/2020T02:50;3.8;83459091;278380544
17/10/2020T03:00;4.0;141580074;274149376
17/10/2020T03:10;4.2;202728077;299241472
17/10/2020T03:20;4.3;237407466;307568640
17/10/2020T03:30;4.3;243268343;312307712
17/10/2020T03:40;4.3;243399344;312827904
17/10/2020T03:50;4.3;243547087;314404864
17/10/2020T04:00;4.3;243660780;314769408
17/10/2020T04:10;4.3;243840116;316448768
17/10/2020T04:20;4.3;243997852;316006400
17/10/2020T04:30;4.3;244147499;316116992
17/10/2020T04:40;4.3;244315624;317112320
17/10/2020T04:50;4.3;244496100;317267968
17/10/2020T05:00;4.3;244653667;317308928
17/10/2020T05:10;4.3;244854369;317206528
17/10/2020T05:20;4.3;245046227;317743104
17/10/2020T05:30;4.3;245188861;317292544
17/10/2020T05:40;4.3;245357644;318160896
17/10/2020T05:50;4.3;245499706;317620224
17/10/2020T06:00;4.2;245593206;317952000
17/10/2020T06:10;4.2;245750359;318074880
17/10/2020T06:20;4.2;245897666;319062016
17/10/2020T06:30;4.2;246046825;319377408
17/10/2020T06:40;4.2;246211647;323903488
17/10/2020T06:50;4.2;246371458;327237632
17/10/2020T07:00;4.2;246515351;323862528
17/10/2020T07:10;4.2;246724354;322953216
17/10/2020T07:20;4.2;246855616;322805760
17/10/2020T07:30;4.2;246980905;322486272
17/10/2020T07:40;4.2;247121115;323026944
17/10/2020T07:50;4.2;247258387;322936832
17/10/2020T08:00;4.2;247410005;322469888
17/10/2020T08:10;4.2;247575481;323387392
17/10/2020T08:20;4.2;247680125;322813952
17/10/2020T08:30;4.2;247856310;322854912
17/10/2020T08:40;4.2;247976779;326356992
17/10/2020T08:50;4.1;248120554;327761920
17/10/2020T09:00;4.1;248339915;326287360
17/10/2020T09:10;4.1;248519758;326025216
17/10/2020T09:20;4.1;248651515;327237632
17/10/2020T09:30;4.1;248839386;326242304
17/10/2020T09:40;4.1;248990817;326447104
17/10/2020T09:50;4.1;249244522;326488064
17/10/2020T10:00;4.1;249336751;177381376
17/10/2020T10:10;4.1;249522532;367874048
17/10/2020T10:20;4.1;249678579;369082368
17/10/2020T10:30;4.1;249809029;368513024
17/10/2020T10:40;4.1;249943974;370233344
17/10/2020T10:50;4.1;250111272;370794496
17/10/2020T11:00;4.1;250229248;375660544
17/10/2020T11:10;4.1;250474015;374833152
17/10/2020T11:20;4.1;250560936;376016896
17/10/2020T11:30;4.1;250824028;340467712
17/10/2020T11:40;4.1;250954613;340185088
17/10/2020T11:50;4.1;251132082;337285120
17/10/2020T12:00;4.1;251293561;339144704
17/10/2020T12:10;4.1;251491210;340791296
17/10/2020T12:20;4.1;251630307;341426176
17/10/2020T12:30;4.2;251791037;340905984
17/10/2020T12:40;4.2;251974443;341381120
17/10/2020T12:50;4.2;252204495;341196800
17/10/2020T13:00;4.2;252425195;342233088
17/10/2020T13:10;4.2;252653155;344371200
17/10/2020T13:20;4.2;252804751;344150016
17/10/2020T13:30;4.2;252997759;343138304
17/10/2020T13:40;4.2;253122223;342978560
17/10/2020T13:50;4.2;253268991;345104384
17/10/2020T14:00;4.2;253476857;344203264
17/10/2020T14:10;4.2;253672252;344928256
17/10/2020T14:20;4.2;253856368;345518080
17/10/2020T14:30;4.2;253983906;346427392
17/10/2020T14:40;4.2;254120311;344879104
17/10/2020T14:50;4.2;254232668;346107904
17/10/2020T15:00;4.2;254478509;344870912
17/10/2020T15:10;4.2;254698335;344838144
17/10/2020T15:20;4.2;254800017;344690688
17/10/2020T15:30;4.2;254961412;344838144
17/10/2020T15:40;4.2;255101020;346796032
