18.10.2020 Stop>14:20; Start>14:27 --node rebooted
18.10.2020 Stop>14:45; Start>22:03 --node rebooted

19.10.2020 Stop>12:01; Start>12:19 --node rebooted
19.10.2020 Stop>19:18; Start>19:49

20.10.2020 Stop>09:55; Start>10:30
20.10.2020 Stop>20:44; Start>21:22

21.10.2020 Stop>12:00; Start>12:02
21.10.2020 Stop>19:30; Start>19:36

22.10.2020 Stop>16:31; Start>16:51
22.10.2020 Stop>23:40; Start>23:53

23.10.2020 Stop>20:42; Start>20:52
23.10.2020 Stop>21:34; Start>21:38 --node rebooted

24.10.2020 Stop>11:08; Start>11:26
24.10.2020 Stop>12:47; Start>12:55

