Date/Time;CPU(perc);Storage(bytes);RAM(bytes)
16/10/2020T16:03;3.4;230465646;325398528
16/10/2020T16:10;3.4;230599784;324284416
16/10/2020T16:20;3.4;230787306;319631360
16/10/2020T16:30;3.4;230941559;320888832
16/10/2020T16:40;3.4;231116937;319660032
16/10/2020T16:50;3.4;231323361;321593344
16/10/2020T17:00;3.4;231534349;324513792
16/10/2020T17:10;3.4;231753053;324325376
16/10/2020T17:20;3.4;231879853;324222976
16/10/2020T17:30;3.4;232033848;324628480
16/10/2020T17:40;3.4;232157088;328396800
16/10/2020T17:50;3.4;232317165;323964928
16/10/2020T18:00;3.4;232510621;323477504
16/10/2020T18:10;3.4;232660352;325390336
16/10/2020T18:20;3.4;232851060;325423104
16/10/2020T18:30;3.4;233022007;325550080
16/10/2020T18:40;3.4;233202857;325763072
16/10/2020T18:50;3.5;233430331;325697536
16/10/2020T19:00;3.4;233611325;328994816
16/10/2020T19:10;3.5;233838497;329216000
16/10/2020T19:20;3.5;234067262;333438976
16/10/2020T19:30;3.5;234217745;342142976
16/10/2020T19:40;3.5;234425273;336580608
16/10/2020T19:50;3.5;234585430;337883136
16/10/2020T20:00;3.4;234763249;337305600
16/10/2020T20:10;3.4;235010995;337215488
16/10/2020T20:20;3.4;235204342;336801792
16/10/2020T20:30;3.4;235371393;336715776
16/10/2020T20:40;3.4;235589738;338169856
16/10/2020T20:50;3.4;235818201;342867968
16/10/2020T21:00;3.5;6398087;167804928
16/10/2020T21:10;3.4;6398087;167272448
16/10/2020T21:20;3.4;6398087;168849408
16/10/2020T21:30;3.4;6398087;168329216
16/10/2020T21:40;3.4;6398087;168558592
16/10/2020T21:50;3.4;6398087;169529344
16/10/2020T22:00;3.3;6398087;173408256
16/10/2020T22:10;3.3;6398087;167550976
16/10/2020T22:20;3.3;6398087;169127936
16/10/2020T22:30;3.3;6398087;167370752
16/10/2020T22:40;3.3;6398087;167952384
16/10/2020T22:50;3.2;6398087;169402368
16/10/2020T23:00;3.2;6398087;168034304
16/10/2020T23:10;3.2;6398087;161382400
16/10/2020T23:20;3.2;6398087;162611200
16/10/2020T23:30;3.2;6398087;161009664
16/10/2020T23:40;3.1;6398087;161325056
16/10/2020T23:50;3.1;6398087;163667968
17/10/2020T00:00;3.1;6398087;160776192
17/10/2020T00:10;3.1;6398087;162234368
17/10/2020T00:20;3.1;6398087;164659200
17/10/2020T00:30;3.1;6398087;162316288
17/10/2020T00:40;3.0;6398087;161181696
17/10/2020T00:50;3.0;6398087;166547456
17/10/2020T01:00;3.0;6398087;160448512
17/10/2020T01:10;3.0;6398087;160600064
17/10/2020T01:20;3.0;6398087;161992704
17/10/2020T01:30;3.0;6398087;160772096
17/10/2020T01:40;2.9;6398087;160452608
17/10/2020T01:50;2.9;6398087;160870400
17/10/2020T02:00;2.9;6398087;160550912
17/10/2020T02:10;2.9;6398087;169095168
17/10/2020T02:20;2.9;6398087;160399360
17/10/2020T02:30;2.9;6398087;168337408
17/10/2020T02:40;2.9;19263238;234844160
17/10/2020T02:50;3.1;76106479;253562880
17/10/2020T03:00;3.3;142398525;268222464
17/10/2020T03:10;3.4;176471074;285548544
17/10/2020T03:20;3.6;225686314;316006400
17/10/2020T03:30;3.7;243264247;345481216
17/10/2020T03:40;3.7;243399344;343896064
17/10/2020T03:50;3.7;243542991;344748032
17/10/2020T04:00;3.7;243660780;344588288
17/10/2020T04:10;3.7;243836020;345403392
17/10/2020T04:20;3.7;243993756;346624000
17/10/2020T04:30;3.7;244147499;345100288
17/10/2020T04:40;3.7;244311528;348741632
17/10/2020T04:50;3.7;244492004;348545024
17/10/2020T05:00;3.7;244649571;348278784
17/10/2020T05:10;3.7;244850273;348827648
17/10/2020T05:20;3.7;245042131;348983296
17/10/2020T05:30;3.7;245188861;348729344
17/10/2020T05:40;3.7;245353548;348684288
17/10/2020T05:50;3.7;245495610;348815360
17/10/2020T06:00;3.6;245589110;349208576
17/10/2020T06:10;3.6;245746263;349470720
17/10/2020T06:20;3.6;245893570;352903168
17/10/2020T06:30;3.6;246042729;349351936
17/10/2020T06:40;3.6;246207551;349368320
17/10/2020T06:50;3.7;246371458;352645120
17/10/2020T07:00;3.7;246511255;349990912
17/10/2020T07:10;3.6;246720258;351932416
17/10/2020T07:20;3.6;246851520;350740480
17/10/2020T07:30;3.6;246976809;350457856
17/10/2020T07:40;3.6;247117019;350404608
17/10/2020T07:50;3.6;247254291;350429184
17/10/2020T08:00;3.6;247405909;350265344
17/10/2020T08:10;3.6;247571385;350351360
17/10/2020T08:20;3.6;247676029;350638080
17/10/2020T08:30;3.6;247852214;351797248
17/10/2020T08:40;3.6;247976779;353615872
17/10/2020T08:50;3.6;248120554;355164160
17/10/2020T09:00;3.6;248335819;360652800
17/10/2020T09:10;3.6;248515662;353730560
17/10/2020T09:20;3.6;248647419;355131392
17/10/2020T09:30;3.6;248835290;354332672
17/10/2020T09:40;3.6;248990817;354246656
17/10/2020T09:50;3.6;249240426;353931264
17/10/2020T10:00;3.6;249332655;173973504
17/10/2020T10:10;3.6;249518436;363610112
17/10/2020T10:20;3.6;249674483;366407680
17/10/2020T10:30;3.6;249809029;366985216
17/10/2020T10:40;3.6;249939878;367357952
17/10/2020T10:50;3.6;250111272;368943104
17/10/2020T11:00;3.6;250225152;370823168
17/10/2020T11:10;3.6;250469919;372637696
17/10/2020T11:20;3.6;250577054;373506048
17/10/2020T11:30;3.6;250708617;377442304
17/10/2020T11:40;3.6;250950517;376348672
17/10/2020T11:50;3.6;251127986;375652352
17/10/2020T12:00;3.6;251293561;374390784
17/10/2020T12:10;3.6;251491210;377503744
17/10/2020T12:20;3.6;251626211;380882944
17/10/2020T12:30;3.6;251676129;382103552
17/10/2020T12:40;3.6;251974443;377921536
17/10/2020T12:50;3.6;252204495;379695104
17/10/2020T13:00;3.6;252425195;379920384
17/10/2020T13:10;3.6;252653155;380657664
17/10/2020T13:20;3.6;252657269;391434240
17/10/2020T13:30;3.6;253001855;368721920
17/10/2020T13:40;3.6;253126319;365768704
17/10/2020T13:50;3.6;253273087;349474816
17/10/2020T14:00;3.6;253485049;358158336
17/10/2020T14:10;3.6;253676348;348454912
17/10/2020T14:20;3.6;253860464;349622272
17/10/2020T14:30;3.6;253988002;353312768
17/10/2020T14:40;3.6;254124407;362016768
17/10/2020T14:50;3.6;254239747;362897408
17/10/2020T15:00;3.6;254486701;363618304
17/10/2020T15:10;3.6;254702431;362926080
17/10/2020T15:20;3.6;254804113;361730048
17/10/2020T15:30;3.6;254965508;363323392
17/10/2020T15:40;3.6;255105116;363098112
17/10/2020T15:50;3.6;255252651;363773952
17/10/2020T16:00;3.6;255416659;365199360
17/10/2020T16:10;3.6;255606146;365887488
17/10/2020T16:20;3.6;255746357;365871104
17/10/2020T16:30;3.6;255907691;366317568
17/10/2020T16:40;3.6;256105562;371187712
17/10/2020T16:50;3.6;256275036;373559296
17/10/2020T17:00;3.6;256338289;372219904
17/10/2020T17:10;3.6;256564716;374910976
17/10/2020T17:20;3.6;256682929;373682176
17/10/2020T17:30;3.6;256786293;376279040
17/10/2020T17:40;3.6;256960164;374505472
17/10/2020T17:50;3.6;257072085;377118720
17/10/2020T18:00;3.6;257169492;372469760
17/10/2020T18:10;3.6;257330576;373374976
17/10/2020T18:20;3.6;257429420;373182464
17/10/2020T18:30;3.6;257561046;375209984
17/10/2020T18:40;3.6;257746583;372260864
17/10/2020T18:50;3.6;257905127;363700224
17/10/2020T19:00;3.6;258050285;164159488
17/10/2020T19:10;3.6;258050285;163586048
17/10/2020T19:20;3.6;258437456;314097664
17/10/2020T19:30;3.6;258578824;315461632
17/10/2020T19:40;3.6;258757022;313638912
17/10/2020T19:50;3.6;258890099;313970688
17/10/2020T20:00;3.6;259073177;315006976
17/10/2020T20:10;3.6;259206811;315727872
17/10/2020T20:20;3.6;259344911;317181952
17/10/2020T20:30;3.6;259475294;317194240
17/10/2020T20:40;3.6;259629661;316461056
17/10/2020T20:50;3.6;259830967;314949632
17/10/2020T21:00;3.6;259996444;316268544
17/10/2020T21:10;3.6;260190734;314839040
17/10/2020T21:20;3.6;260293438;321187840
17/10/2020T21:30;3.6;260455513;320323584
17/10/2020T21:40;3.6;260642331;320323584
17/10/2020T21:50;3.6;260825869;320618496
17/10/2020T22:00;3.6;260948966;319324160
17/10/2020T22:10;3.6;261097615;331812864
17/10/2020T22:20;3.6;261230404;323624960
17/10/2020T22:30;3.6;261365387;324001792
17/10/2020T22:40;3.6;261534766;323960832
17/10/2020T22:50;3.6;261687160;325193728
17/10/2020T23:00;3.6;261848688;323674112
17/10/2020T23:10;3.6;262043639;324186112
17/10/2020T23:20;3.6;262114545;325468160
17/10/2020T23:30;3.6;262260757;325476352
17/10/2020T23:40;3.6;262478079;328450048
17/10/2020T23:50;3.6;262619543;331280384
18/10/2020T00:00;3.6;262754625;326205440
18/10/2020T00:10;3.6;262935079;325980160
18/10/2020T00:20;3.6;263062582;327081984
18/10/2020T00:30;3.6;263241939;326279168
18/10/2020T00:40;3.6;263391602;328650752
18/10/2020T00:50;3.6;263498548;325722112
18/10/2020T01:00;3.6;263644674;326946816
18/10/2020T01:10;3.6;263844768;328077312
18/10/2020T01:20;3.6;263945277;331464704
18/10/2020T01:30;3.6;264126920;331325440
18/10/2020T01:40;3.6;264254967;329768960
18/10/2020T01:50;3.6;264428008;330502144
18/10/2020T02:00;3.6;264565861;331489280
18/10/2020T02:10;3.6;264721970;331382784
18/10/2020T02:20;3.6;264850767;329912320
18/10/2020T02:30;3.6;265014741;330174464
18/10/2020T02:40;3.6;265194445;330264576
18/10/2020T02:50;3.6;265324746;330297344
18/10/2020T03:00;3.6;265528863;329895936
18/10/2020T03:10;3.6;265678302;329203712
18/10/2020T03:20;3.6;265805395;333672448
18/10/2020T03:30;3.6;265940589;333406208
18/10/2020T03:40;3.6;266086895;332251136
18/10/2020T03:50;3.6;266198717;334606336
18/10/2020T04:00;3.6;266343390;333287424
18/10/2020T04:10;3.6;266491809;332361728
18/10/2020T04:20;3.6;266640508;332832768
18/10/2020T04:30;3.6;266781299;335147008
18/10/2020T04:40;3.6;266933436;333828096
18/10/2020T04:50;3.6;267074370;332763136
18/10/2020T05:00;3.6;267221859;335716352
18/10/2020T05:10;3.6;267387195;332996608
18/10/2020T05:20;3.6;267498260;337084416
18/10/2020T05:30;3.6;267691184;337559552
18/10/2020T05:40;3.6;267841952;338845696
18/10/2020T05:50;3.6;268003352;345243648
18/10/2020T06:00;3.6;268139679;350257152
18/10/2020T06:10;3.6;268270542;349261824
18/10/2020T06:20;3.6;268418238;348528640
18/10/2020T06:30;3.6;268543560;348475392
18/10/2020T06:40;3.6;268689342;350035968
18/10/2020T06:50;3.6;268836311;350101504
18/10/2020T07:00;3.6;269006082;350707712
18/10/2020T07:10;3.6;269172454;349786112
18/10/2020T07:20;3.6;269311747;351272960
18/10/2020T07:30;3.6;269437057;355991552
18/10/2020T07:40;3.6;269607121;365998080
18/10/2020T07:50;3.6;269825296;353337344
18/10/2020T08:00;3.6;270004008;353406976
18/10/2020T08:10;3.6;270220673;351584256
18/10/2020T08:20;3.6;270404855;351711232
18/10/2020T08:30;3.6;270589959;353234944
18/10/2020T08:40;3.6;270729984;354709504
18/10/2020T08:50;3.6;270925273;353730560
18/10/2020T09:00;3.6;271082259;352260096
18/10/2020T09:10;3.6;271241174;352874496
